Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species ,,
New South Wales,Surfing,M,20,Injury to left thigh,N,18h15,"Bull shark, 2.8 to 3.1 m",,
Florida,Surfing,F,9,Lower left leg injured,,11h00,Shark involvement not confirmed,,
Hawaii,Swimming,M,54,Laceration to right ankle,N,11h00,,,
Florida,Wading,F,28,Injury to right ankle/calf & hand,N,14h00,3' to 5' shark,,
Inhambane Province,Fishing,M,19,"Arms severely injured, surgically amputated",N,04h00,,,
Western Australia,Spearfishing,M,50,Minor injury,N,,,,
Hawaii,Body boarding,M,10,"Lacerations & puncture wounds to right thigh, calf & ankle",N,14h50,,,
Western Cape Province,Surfing,M,42,"Lacerations to right calf, knee & hip",N,15h00,"White shark, 3 to 3.5m ",,
Florida,Surfing,M,21,Lacerations to left hand,N,14h30,5' shark,,
Florida,Surfing,M,21,Left foot bitten,N,13h50,"Spinner shark, 5'",,
Inhambane Province,Fishing for shrimp,F,35,FATAL,Y,,,,
Hawaii,Surfing,M,32,Left foot bitten by eel,,19h20,No shark involvement,,
Hawaii,Swimming,M,44,Severe injuries to lower legs. Foot later surgically amputated.,N,11h30,"Tiger shark, 7'",,
California,Kayak Fishing,M,,"No injury, shark rammed kayak repeatedly",N,11h00,Hammerhead sp.,,
South Carolina,Boogie boarding,F,9,Laceration to forearm,N,16h20,,,
Hawaii,Surfing,M,25,"Left leg severed below the knee, defense injuries to left hand",N,10h25,"Tiger shark, 13' ",,
Inhambane Province,Fishing,M,,"Arm severely injured, surgically amputated",N,,,,
Western Australia,Surfing,M,18,Foot injured,N,16h50,,,
Florida,Body boarding,M,22,2 lacerations to ankle,N,13h00,,,
Texas,Wading,M,13,Foot & hands bitten,N,10h00,4' to 5' shark,,
Florida,Surfing,M,14,Severe lacerations to left hand,N,08h30,"Blacktip shark, 4' to 5'",,
Florida,Surfing,M,22,"Laceration to heel, puncture wounds to dorsum of foot",N,16h20,"Blacktip shark, 5' to 6'",,
Queensland,Snorkeling,F,7,Laceration to leg,N,Afternoon,,,
California,Kayak fishing,M,,"No injury, kayak damaged",N,10h45-11h15,"White shark, 19'",,
Florida,Surfing,M,14,Minor injury to left ankle,N,16h45,juvenile shark,,
Hawaii,Spearfishing,M,27,Severe laceration to left leg,N,15h52,"Tiger shark, 13'",,
Florida,Wading,M,12,Significant injuries to leg,N,12h30,4' shark,,
Florida,Photographing fish,M,16,Injury to right hand / wrist,N,07h30,,,
California,Kayak Fishing,M,,No injury,N,,Hammerhead shark,,
Florida,Swimming,M,,Lacerations to calf,N,19h00,,,
Florida,Surfing,M,20,Injury to right foot,N,15h00,,,
New South Wales,Surfing,M,42,Minor laceration to hand,N,06h15,6' shark,,
California,Stand-Up Paddleboarding,F,50,"No injury, shark struck board, tossing her into the sea",N,17h30,"White shark, 11' to 12'",,
California,Kayak Fishing,M,29,Laceration to dorsum of foot by hooked shark  PROVOKED INCIDENT,N,14h40,Hammerhead shark.,,
New South Wales,Surf-skiing,M,62,Inuries to lower left leg & ankle,N,11h30,"White shark, 2.5 m",,
South Carolina,,M,,Right foot bitten,N,16h00,4' shark?,,
Phuket,Wading,F,37,Left foot & ankle bitten,N,08h30,small shark,,
,Spearfishing,M,,Leg bitten,N,,Tiger shark,,
California,Surfing,F,54,"No injury, surfboard bitten",N,10h25,"White shark, 11' to 12'",,
California,Surfing,M,21,"No injury, shark struk sufer's leg and his board",N,10h00,"White shark, 10' to 12' ",,
Florida,,M,,Wound to right lower leg,,19h45,Shark involvement not confirmed,,
New South Wales,Surfing,M,38,Severe laceration to left buttock & thigh,N,17h10,,,
South Carolina,Surfing,M,15,"Injuries to left calf, arm and hand",N,12h30,4' shark,,
Florida,Walking,F,10,Lacerations to right leg,N,15h30,3' shark,,
California,Kayak Fishing,M,22,"No injury, kayak bitten",N,07h30,"White shark, 13'",,
Alicante,Swimming,M,10,Minor injury when he attempted to touch a fish. ,,11h00,Shark involvement not confirmed,,
California,Spearfishing,M,57,Right hand bitten  PROVOKED INCIDENT,N,08h00,Hammerhead shark. 6' to 7',,
New South Wales,Surfing,M,52,"Lacerations and puncture wounds to hip, thigh, arm and hand",N,06h00,White shark,,
Guanacaste,Surfing,M,47,Minor inuries to toes,N,,,,
Victoria,Surfing,M,40,Injury to hand,,,,,
Florida,Surfing,M,25,Minor injury to sole of foot,N,19h00,"Blacktip or spinner shark, 4'",,
South Carolina,Floating,F,35,"2' cut to dorsum of foot, 2 puncture wounds to sole",,10h10,"Thought to involve a 3' to 4' shark, but shark involvement not confirmed",,
Tasmania,Scallop diving on hookah,M,46,FATAL,Y,10h00,"White shark, 3.9 to 4.2 m",,
California,Kayak Fishing,M,31,No injury to occupant. Kayak bitten by gaffed shark. PROVOKED INCIDENT,N,,"Mako shark, 100-lb",,
Victoria,Surfing,M,40,Left hand bitten,N,,"Bronze whaler shark, 1.5m",,
,Surfing,M,45,Arm bitten,N,,"Bull shark, 2m",,
Eastern Cape Province,Surfing,M,34,No injury,N,,White shark,,
California,Surfing,M,38,"No injury, shark bumped & damaged board",N,08h45,"White shark, 7'",,
California,Treading water,M,39,Laceration to back,,,Shark involvement not cofirmed,,
Bora Bora,Swimming,M,,Parallel lacerations to torso inconsistent with shark bite,,,No shark involvement,,
Grand Bahama Island,Spearfishing,F,23,Lacerations to lower leg & ankle,N,,6' shark,,
North Carolina,,M,32,Lacerations to right hand & forearm,N,Evening,,,
New South Wales,Surfing,M,52,"No injury, shark bit surfboard",N,09h00,White shark,,
New South Wales,Body boarding ,M,32,Significant injuries to lower legs,N,09h00,White shark,,
North Carolina,Swimming,M,68,"Injuries to torso, hip, lower leg & hands",N,12h10,6' to 7' shark,,
New South Wales,Surfing,M,,Hand bitten,N,,,,
South Carolina,Playing in the water,M,12,Shallow lacerations & puncture to lateral left leg,N,18h05,4' to 5' shark,,
North Carolina,Swimming,M,18,"Injuries to right calf, buttock and both hands",N,16h00,Bull shark,,
Western Cape Province,Body Boarding,M,19,"Right leg severed, multiple lacerations to left leg",N,14h40,White shark,,
Florida,Swimming,F,,Minor lacerations to leg,,19h30,Shark involvement not confirmed,,
Western Cape Province,Surfing,M,23,Multiple lacerations to torso & leg,N,16h00,"White shark, 2m to 3 m",,
South Carolina,Standing,M,43,Puncture wounds to foot,N,11h00,4' shark,,
Western Australia,Swimming,M,19,Minor lacerations to forearm when he grabbed shark by its tail     PROVOKED INCIDENT,N,,Wobbegong shark,,
North Carolina,Body surfing?,M,47,Multiple lacerations to back,N,11h41,,,
North Carolina,Swimming,M,6,Minor injury to foot,N,12h25,Sandtiger shark,,
Western Australia,Surfing,F,37,"Bruises and abrasions to face, chin, chest, both shins & feet and cut to right hand when her surfboard was struck with force",N,09h30,White shark,,
South Carolina,Standing,M,9,Minor injury to calf ,N,,small shark,,
,Spearfishing,M,36,Injury to hand,N,Morning,,,
Florida,Swimming,M,10,Minor injury to calf ,N,13h00,,,
North Carolina,Wading,M,16,Arm amputated below shoulder,N,17h51,Bull shark,,
North Carolina,Wading,F,12,Left arm amputated at elbow & severe injury to leg,N,16h12,Bull shark,,
California,,F,,Severe laceration to leg,N,,Mako shark,,
North Carolina,Boogie boarding,F,13,Minor lacerations to foot,N,12h45,4' shark,,
Florida,Playing,M,11,Lacerations to right calf,N,10h50,"Bull shark, 5'",,
Florida,Attempting to rescue a shark,F,17,Puncture wound to finger,N,,small nurse shark,,
Le Port,Surfing,M,47,Left forearm bitten,N,15h00,"Bull shark, 2.5 m",,
Florida,Standing,F,14,Left foot bitten,N,15h00,,,
Florida,Wading,F,19,Minor lacerations to dorsum of right foot,N,13h45,,,
Rangiroa,Spearfishing,M,19,Lacerations to right forearm,N,08h00,1m to 1.2 m shark,,
Florida,Swimming,F,13,"Puncture wounds to lower left leg and ankle, shallow lacerations to foot, deep laceration to Achilles tendon",N,,,,
Florida,Surfing,M,18,2 puncture wounds to  dorsum of left foot,N,10h30,5' shark,,
South Carolina,,M,30,Laceration to foot ,N,14h15,6' shark,,
,Snorkeling,M,50,FATAL,Y,,"Bull shark, 3.5 m",,
Florida,Swimming,M,,"Lacerations to lower left leg, ankle & foot",N,15h00,,,
New South Wales,Surfing,M,,Injuries to left arm & right hand,N,15h00,White shark,,
Eastern Cape Province,Diving,M,29,"Injuries to leg, left arm & both hands",N,13h00,"White shark, 3.5 m",,
Hawaii,Snorkeling,F,65,FATAL,Y,09h00,,,
Florida,Wading,M,63,Lacerations to left calf,N,16h30,3- to 4-foot shark,,
South Australia,Surfing,M,26,Leg severed at mid-thigh,N,09h45,"White shark, 6 m",,
New South Wales,Surf skiing ,M,71,"No injury, knocked off ski",N,11h00,"White shark, 3 m",,
Florida,Photographing the shark,M,48,Lacerations to shoulder and left bicep,N,,"Blue shark, 8 to 9 feet",,
Saint-Gilles-les-Bains,Surfing,M,13,FATAL,Y,09h00,Bull shark,,
New South Wales,Paddle boarding,M,,Ankle injured,N,07h30,,,
Florida,Spearfishing,M,70,Injuries to head & torso,N,Afternoon,Bull shark,,
Sardinia,Diving,M,43,"FATAL, but shark involvement prior to death unconfirmed",,,Shark involvement not cofirmed,,
Pernambuco,Surfing,M,23,Injury to left thigh from unidentified species of fish; injuries inconsistent with shark bite,,11h00,No shark involvement,,
Eastern Cape Province,Kayak Fishing,M,36,No injury but kayak bitten,N,,"White shark, 4 m",,
,Swimming,M,52,FATAL,Y,,Mako shark,,
Hawaii,Standing / Snorkeling,M,58,Lacerations to left forearm. Lacerations to left hand and thigh,N,11h45,"Tiger shark, 8 to 12 feet",,
Bora Bora,Hand feeding sharks,M,9,Hand bitten,N,10h00,Blacktip shark,,
New South Wales,Fishing,M,,Bruised in falling overboard as shark bumped boat,N,Morning,,,
Sinaloa,Fishing,M,36,Right hand bitten by hooked shark PROVOKED INCIDENT,N,10h20,,,
Central Tuamotu,Sitting in the water,M,18 months,Thigh bitten,N,,Blacktip Reef shark ,,
,Transatlantic Rowing,,,"No injury, shark bit rudder",N,,White shark,,
d’Étang-Salé,Swimming,F,22,FATAL,Y,18h30,"Tiger shark, 3.5 m",,
New South Wales,Surfing,M,41,FATAL,Y,10h00,3.5 to 4 m shark,,
New South Wales,Surfing,M,35,Laceration & puncture wounds to right flank & hip,N,06h45,2 m to  3 m shark,,
New South Wales,Bodysurfing,M,,5 minor puncture wounds to lower left leg,N,,1.8 m shark,,
Queensland,Rowing,M,57,"No injury, shark's teeth scratched hull",N,05h00,"Bull shark, 1.3 m",,
Hawaii,Shark fishing,M,20,Lacerations to calf by hooked shark PROVOKED INCIDENT,N,03h30,4' shark,,
New South Wales,Surfing,M,,"No injury, surfboard dented",N,,,,
Eastern Cape Province,Floating,M,24,Foot bitten,N,Afternoon,,,
Florida,Fishing,M,,No injury but shark bit trolling motor & rammed boat,N,,White shark,,
New South Wales,Surfing & filming dolphins,F,,Board snapped in two,,,Shark involvement not confirmed,,
New South Wales,Fishing,M,,"Shark bumped boat, no injury to occupants",N,13h45,5 m shark,,
New South Wales,Filming,M,17,Bitten on hand & wrist,N,,1.5 m shark,,
Florida,Swimming after falling overboard,M,38,"During his 16-hour swim to shore, he was circled by a shark but it did not injure him",,Night,No shark involvement,,
Abaco Islands,Snorkeling,F,34,Severe bite to right flank,N,16h00,White shark or oceanic whitetip shark,,
Eastern Cape Province,Surfing,M,15,"Lacerations to lower left leg, puncture wounds to sole of left foot",N,08h00,"Raggedtooth shark, 1.3 m",,
Florida,,M,12,Leg bitten,N,Afternoon,"""A small shark""",,
New South Wales,Surfing,,,Lacerations to both feet,N,Morning,2 m shark,,
Western Australia,Spearfishing,M,17,FATAL,Y,Morning,"White shark, 4 to 5 m",,
,,,,"Of 9 bodies recovered, one was bitten by a shark",N,,Shark involvement prior to death still to be determined,,
KwaZulu-Natal,Swimming,,,Minor cuts on feet,,Morning,Shark involvement not confirmed & highly unlikely,,
California,Surfing,M,50,Injury to hip/leg,N,11h30,"White shark, 8' to 10'",,
Victoria,Fishing,M,40s,Laceration to calf when he fell on shark he had caught PROVOKED INCIDENT,N,Morning,1.5 m shark,,
,Diving / Filming,M,,"No injury, shark snagged its teeth in diver's suit",N,,Goblin shark,,
Queensland,Spearfishing,M,17,FATAL,Y,11h30,Tiger shark,,
Granada,Fishing for blue sharks,M,,Glancing bite to wrist from netted shark PROVOKED INCIDENT,N,07h00,,,
Western Australia,Surfing,M,13,Minor injuries to right leg,N,Sometime between 06h00 & 08hoo,,,
Cargados Carajos Shoals (St. Brandon),Fishing,M,39,"FATAL, arm bitten by shark hauled on deck             PROVOKED INCIDENT",Y,,,,
Western Australia,Fishing,M,,"Shark chasing fish bumped boat, no injury to occupants",N,,White shark,,
California,,,,"Shark bumped boat, no injury to occupants",N,,White shark,,
Florida,Surfing,M,44,Laceration to left hand,N,13h00,2' shark,,
Hawaii,Snorkeling,M,53,Laceration to left upper leg,N,13h30,1.5 m shark,,
New South Wales,Surfing,M,,Minor injury to lower leg and foot,N,06h30,,,
Florida,Surfing,M,18,Minor injuries to hand & arm ,N,16h30,,,
Hawaii,Surfing,F,34,Lacerations to fingers,N,11h00,"Tiger shark, 12'",,
New South Wales,Surfing,M,20,Laceration to dorsum of left foot when he stepped on the shark     PROVOKED INCIDENT,N,18h00,,,
Hawaii,Stand-Up Paddleboarding,F,,"No injury, paddleboard bitten",N,10h00,Tiger shark,,
Hawaii,Stand-Up Paddleboarding,M,,"No injury, paddleboard bitten",N,08h00,,,
California,Canoeing,F,,"No injury to occupant, canoe bitten",N,,,,
Hawaii,Surfing,M,,"No injury, surfboard bitten",N,11h15,12' to 14' shark,,
New South Wales,Surfing,F,13,"Lacerations to left calf & ankle, puncture wounds to left foot",N,06h30,1 m shark,,
South Carolina,Standing in inner tube,F,7,Lacerations to left foot,N,,"Bull shark, 3' to 4'",,
Florida,Body surfing or Boogie boarding,F,,Laceration to right hand/wrist,N,15h30,,,
Western Australia,Kayaking,M,,"Kayak deflated, no injury to occupants",N,17h20,,,
Florida,Surfing,M,29,Foot bitten,N,11h30,Blacktip shark,,
Florida,Fishing,F,40,Thigh bitten,N,Afternoon,,,
Florida,Surfing,M,15,Foot bitten,N,11h00,Blacktip shark,,
California,Kayaking,M,,"No injury to occupant, shark/s holded  kayak",N,14h00,"White shark, 18' to 20'",,
California,Kayaking ,M,,"No injury to occupant, shark/s holded  kayak",N,11h30,White shark,,
California,Surfing,M,28,Lacerations to knee,N,17h30,8' to 10' shark,,
Western Australia,Surfing,M,23,"Left arm & right hand severed, lacerations to both legs",N,11h00,"2 white shark: 13' & 9""8""",,
Florida,Surfing,M,,Minor injury to left foot,N,11h30,,,
Moorea,Feeding fish,F,36,Thumb & finger nipped,N,,Blacktip shark,,
California,Surfing,M,,"A hoax, no shark involvement",,18h45,No shark involvement,,
New South Wales,Swimming,M,50,FATAL,Y,10h45,7' shark,,
Alabama,Fishing ,M,43,Leg bitten,N,13h00,Bull shark,,
Massachusetts,Kayaking ,F,20s,"No injury, shark bit kayak",N,18h00,"White shark, 12' to 14'",,
Florida,Fishing,M,52,Bitten twice on the leg by a shark he was attempting to free from his line PROVOKED INCIDENT,N,20h00,3' to 4' shark,,
Catalonia,Playing with an air mattress,M,16,Lacerations to right hand,N,,,,
Florida,Body surfing,F,13,Injury to left calf,N,16h40,Spinner shark,,
Florida,Surfing,M,17,Lacerations to shin,N,,Spinner shark or blacktip shark,,
Florida,,,,Shark involvement not confirmed,,16h18,Shark involvement not confirmed,,
Maryland,Fishing,M,33,Lacerations to foot by hooked shark PROVOKED INCIDENT,N,,,,
Alicante,Swimming,F,30s,Minor lacerations to posterior lower leg,N,,small shark,,
North Carolina,Surfing,M,29,Laceration to left hand,N,,4' to 6' shark,,
South Carolina,Standing,F,,Heel bitten,N,15h00,,,
Florida,Fishing for sharks,M,,Lacerations to forearm from hooked shark PROVOKED INCIDENT,N,,"Bull shark, 4.5' ",,
North Carolina,Kite boarding,,,Laceration to left foot,N,,4' shark,,
Western Australia,Spearfishing,M,31,Lacerations to face and neck,N,,reef shark,,
Florida,Standing,M,,Puncture wounds and lacerations to left thigh and knee,N,11h10," Bull shark, 8'",,
Florida,,M,26,Puncture wounds & lacerations to foot,N,,,,
,Spearfishing,M,,Puncture wounds to right foot and ankle,N,,"Bull shark, 9' to 10'",,
Florida,Swimming,F,10,Puncture wounds to right foot & ankle,N,13h30,,,
Louisiana,Swimming,M,7,Minor lacerations to left heel and big toe,N,Afternoon," Bull shark, 5'",,
South Carolina,Boogie boarding,M,10,Lacerations to right leg & foot,N,14h00,4' tp 5' shark,,
Florida,Swimming,F,45,Lacerations to  foot,N,,,,
Florida,Surfing,M,50s,Foot bitten,N,,,,
Florida,Boogie boarding,M,8,Laceration to ankle,N,13h00,,,
Western Cape Province,Surfing,M,20,Lower limbs & thigh bitten,N,14h00,White shark,,
,Sea disaster,M,,Shark involvement prior to death not confirmed,,,Shark involvement not confirmed,,
North Carolina,Swimming,M,Teen,Left foot bitten,N,,Possibly juvenile tiger shark,,
Saint-Leu,Surfing,M,51,Lacerations to right wrist & calf,N,15h00,1.8 metre shark,,
Florida,Standing,M,8,Lacerations to right knee,N,Early afternoon,,,
Canary Islands,Wading,,,Minor injury,N,,Angel shark,,
Hawaii,Swimming,M,61,Lacerations to left foot,N,17h50,6' to 8' shark,,
Florida,Swimming,M,39,Puncture wounds to foot,N,14h30,4' shark,,
West End,Shark diving,M,63,"Missing after a dive, shark involvement considered probable, but not confirmed",,Night,Shark involvement not confirmed,,
North Carolina,Body surfing,M,,Lacerations to hand and wrist,N,,,,
Florida,Surfing,M,14,Lacerations to foot,N,14h00,,,
California,Swimming,M,,PROVOKED INCIDENT Torso bitten by shark hooked by an angler,N,09h30," White shark, 7' ",,
California,Surfing,M,,"No injury, surboard bitten",N,07h00 - 08h00,,,
South Carolina,Body surfing,M,19,Right hand bitten,N,18h15-18h30,4' to 5' shark,,
,Transatlantic Rowing,M,48,His boat was holed by a shark,N,,Oceanic whitetip shark',,
Abaco Islands,Spearfishing,M,42,No injury but shark took his pole spear,N,13h00,"Caribbean reef shark, 7' to 8'",,
South Australia,Surfing,M,,"No injury, surfboard 'attacked'",N,17h01,,,
South Australia,Body boarding,M,15,Lacerations to knee,N,17h00,,,
Western Australia,Petting a shark,M,,Lacerations to right hand by captive shark PROVOKED INCIDENT,N,," Lemon shark, 3.5 m",,
,Fishing,M,43,Severe injury to arm,N,,,,
Delaware,Standing,M,16,"Abrasion to right hand, lacerations to left forearm",N,17h00," Sandbar shark, 3' to 4'",,
South Australia,Body boarding,M,39,Minor injury to torso,N,09h45,"Bronze whaler shark, 1.5m",,
Atsumi peninsula,Surfing,M,43,Left arm bitten,N,Afternoon,,,
Texas,Kneeling in the water,F,14,Shallow lacerations & puncture wounds below shoulder,N,Afternoon,,,
Florida,Swimming,F,22,Laceration to right lower leg,N,13h30,Bull shark,,
New South Wales,Surfing,M,,Lacerations & puncture wounds to ankle and foot,N,Morning,,,
Palmyra Atoll,Tagging sharks,F,37,Laceration to left hand,N,,Blacktip Reef shark ,,
Queensland,Fell into the water,F,29,Lacerations to legs,N,," Bull shark, 1.2m ",,
Wallis and Futuna,Scuba diving,M,,Lacerations to left thigh and hip,N,Morning,3m shark,,
New South Wales,Teasing a shark,M,10,Cut to tip of finger by a captive shark PROVOKED INCIDENT,N,," Tawney nurse shark, 1m",,
Florida,Body boarding,F,38,Calf bitten,N,11h30,,,
South Australia,Surfing,M,35,"No injury, but surfboard severely damaged",N,09h30," white shark, 15' ",,
Florida,Wading,F,44,Lacerations and puncture wounds to right foot,N,11h00,,,
Georgia,Surfing,M,12,Puncture wounds to right thigh,N,,Shark involvement not confirmed,,
Florida,Diving,M,,"No injury. No attack. 12' white shark appeared curious, not aggressive & departed when prodded by spear",,,No shark involvement,,
